dataset,episode,classification,bag_duration_s,common_overlap_s,alignment_coverage_50ms,drop_events,estimated_missing,severe_gaps,usable_segments_ge_5s,usable_continuous_s,longest_continuous_s,header_clock_topics,size_bytes,errors,warnings,path
f1-5-201,episode_000098,FRAGMENT_ONLY,68.492040635,68.42460584640503,0.9908345393150024,209,242,2,3,67.84685254096985,42.96236968040466,3,930944132,,"one or more required streams has a gap >200 ms | 209 dropped-frame events, about 242 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000098
f1-5-201,episode_000099,FRAGMENT_ONLY,72.057805569,71.98488306999207,0.9940394314534617,171,204,1,2,71.76212549209595,42.316349267959595,2,971147397,,"one or more required streams has a gap >200 ms | 171 dropped-frame events, about 204 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000099
f1-5-201,episode_000100,FRAGMENT_ONLY,71.158761024,68.986168384552,0.9890004782400765,150,187,3,2,63.5027973651886,58.139466285705566,3,946047748,,"one or more required streams has a gap >200 ms | 150 dropped-frame events, about 187 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000100
f1-5-201,episode_000101,FRAGMENT_ONLY,71.497842144,68.83376264572144,0.9846596356663471,200,255,5,5,67.47684645652771,21.737611532211304,3,962040439,,"one or more required streams has a gap >200 ms | 200 dropped-frame events, about 255 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000101
f1-5-201,episode_000102,FRAGMENT_ONLY,76.492006698,76.42244267463684,0.9926597582037997,261,292,1,2,76.06650972366333,61.91627097129822,3,1033679553,,"one or more required streams has a gap >200 ms | 261 dropped-frame events, about 292 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000102
f1-5-201,episode_000103,FRAGMENT_ONLY,74.168520699,71.32336521148682,0.995835261453031,145,168,1,2,71.067617893219,38.918853521347046,3,992541485,,"one or more required streams has a gap >200 ms | 145 dropped-frame events, about 168 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000103
f1-5-201,episode_000104,FRAGMENT_ONLY,73.969526615,71.90013480186462,0.9949494949494949,197,220,1,2,71.67818593978882,56.858386516571045,3,1006336330,,"one or more required streams has a gap >200 ms | 197 dropped-frame events, about 220 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000104
f1-5-201,episode_000105,FRAGMENT_ONLY,76.058476772,75.75092911720276,0.989587852494577,190,238,4,5,74.79263710975647,20.300713539123535,3,1026598940,,"one or more required streams has a gap >200 ms | 190 dropped-frame events, about 238 missing messages | header clock anomaly on 3 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000105
f1-5-201,episode_000106,READY,77.917047837,77.83834981918335,0.9940652818991098,212,237,0,1,77.83834981918335,77.83834981918335,2,1044739095,,"212 dropped-frame events, about 237 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000106
f1-5-201,episode_000107,READY,66.69709882,66.63350653648376,0.9970282317979198,195,215,0,1,66.63350653648376,66.63350653648376,2,907178901,,"195 dropped-frame events, about 215 missing messages | header clock anomaly on 2 topics; convert using MCAP log_time",/home/liumouyun/extended_storage/liumouyun/Datas/f1-5-201/episode_000107
